,en,de
thry:github,https://github.com/Thryrallo/UdonPrefabs,
thry:github_prefabs,https://github.com/Thryrallo/UdonPrefabs,
thry:discord,https://thry.dev/d,
,,
thryfy:searchplaceholder,What do you want to find?,Was möchtest du suchen?
thryfy:artists,Artists,Künstler
thryfy:songs,Songs,Lieder
thryfy:load_more,Load more...,Mehr laden...
thryfy:queue,Queue,Wiedergabeliste
thryfy:title,Title,Titel
thryfy:requested,Requested,Gewünscht
thryfy:made_by,Made by:,Schöpferin:
thryfy:credits,Credits,Credits
thryfy:added_queue,Added to Queue,Zur Warteschlange hinzugefügt
